,,10η Παπάγου,,37.989606,23.794099,
,,landuse-residential,,37.99167,23.792075,
,,Εθνική Άμυνα,,37.999102,23.784341,
,,Dropped Pin,,37.997282,23.78209,
,,Dropped Pin,,37.995531,23.779342,
,,Communication,,37.99311,23.77586,
,,Dropped Pin,,37.991199,23.771709,
,,Dropped Pin,,37.988378,23.767385,
,,Dropped Pin,,37.989997,23.769998,
,,ΚΑΡΑΝΙΚΑ,,37.986812,23.76517,
,,Dropped Pin,,37.986315,23.763989,
,,ΑΜΠΕΛΟΚΗΠΟΙ,,37.98622,23.762613,
,,Dropped Pin,,37.986481,23.761321,
,,Dropped Pin,,37.985164,23.760277,
,,entrance,,37.98427,23.7593,
,,landuse-residential,,37.982867,23.757188,
,,Dropped Pin,,37.982142,23.756132,
,,Dropped Pin,,37.981225,23.75523,
,,Dropped Pin,,37.97988,23.753957,
,,Dropped Pin,,37.978226,23.752042,
,,Πλατεία Μεγάλης του Γένους Σχολής,,37.976879,23.749363,
,,Evangelismos,,37.976315,23.747043,
,,43,,37.975968,23.745796,
,,33,,37.975365,23.743098,
,,19,,37.975647,23.740563,
,,landuse-residential,,37.977105,23.739361,
,,landuse-residential,,37.977655,23.739034,
,,landuse-residential,,37.978607,23.738251,
,,ΣΟΛΩΝΟΣ,,37.97949,23.737537,
,,landuse-residential,,37.980113,23.737037,
,,HANTH - XΑΝΘ,,37.979539,23.735983,
,,Dropped Pin,,38.003702,23.793099,
,,Dropped Pin,,38.005386,23.795323,
,,Χολαργός,,38.004975,23.794775,
,,landuse-residential,,38.011239,23.795634,
,,Dropped Pin,,38.0075,23.801798,
,,landuse-residential,,37.961853,23.752532,
,,landuse-residential,,37.965467,23.750371,
,,landuse-residential,,37.966233,23.749778,
,,landuse-residential,,37.966996,23.749096,
,,landuse-residential,,37.967537,23.748593,
,,Άλσος,,37.9678,23.747113,
,,Πλατεία Προφήτη Ηλία,,37.965482,23.74622,
,,landuse-residential,,37.966589,23.748122,
,,landuse-residential,,37.965732,23.748875,
,,ΦΡΥΝΗΣ,,37.965032,23.749432,
,,landuse-residential,,37.963939,23.747595,
,,landuse-residential,,37.971333,23.747579,
,,landuse-residential,,37.972468,23.74779,
,,landuse-residential,,37.97253,23.747113,
,,landuse-residential,,37.973822,23.747965,
,,Grigoris,,37.972975,23.747847,
,,landuse-residential,,37.969151,23.752801,
,,landuse-residential,,37.967599,23.754087,
,,landuse-residential,,37.968995,23.754977,
,,Dropped Pin,,37.969908,23.754477,
,,Zografou Playground,,37.974926,23.760526,
,,Το Χωριάτικο,,37.979552,23.763412,
,,Μιχαλάτος,,37.977858,23.769936,
,,Πλατεία Ελευθερίου Βενιζέλου,,38.0227,23.800118,
,,Dropped Pin,,38.022472,23.80074,
,,Πλατεία Χαλανδρίου,,38.021388,23.798742,
,,Τσιμπίδη Βασιλική,,38.017976,23.795848,
,,landuse-residential,,38.015815,23.792298,
,,gas station,,38.015694,23.792047,
,,Dropped Pin,,38.012515,23.790088,
,,landuse-residential,,38.007707,23.787165,
,,landuse-residential,,38.009838,23.782983,
,,Dropped Pin,,38.009992,23.780027,
,,landuse-residential,,38.002785,23.783578,
,,landuse-residential,,38.003398,23.78233,
,,landuse-residential,,37.983717,23.786235,
,,Dropped Pin,,37.983992,23.782938,
,,Δάσος Καισαριανής Αττικής,,37.965242,23.775979,
,,Dropped Pin,,37.971798,23.757747,
,,Dropped Pin,,37.971982,23.756603,
,,Dropped Pin,,37.972519,23.752344,
,,landuse-residential,,37.972207,23.755032,
,,Dropped Pin,,37.975166,23.750037,
,,Dropped Pin,,37.976282,23.749372,
,,Dropped Pin,,37.961858,23.717736,
,,railway-level_crossing,,37.96239,23.725135,
,,landuse-residential,,37.962654,23.715255,
,,railway-level_crossing,,37.964453,23.727225,
,,railway-level_crossing,,37.965388,23.729446,
,,ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝ,,37.965806,23.730946,
,,Λ. Βουλιαγμένης,,37.966401,23.731409,
,,railway-level_crossing,,37.967166,23.733395,
,,landuse-residential,,37.968156,23.737348,
,,Ζάππειο,,37.968962,23.738162,
,,Dropped Pin,,37.969767,23.739599,
,,landuse-residential,,37.97058,23.741217,
,,Dropped Pin,,37.971971,23.743087,
,,Dropped Pin,,37.972804,23.74429,
,,Armenian Khachkar,,37.974255,23.74642,
,,ΠΙΝΑΚΟΘΗΚΗ,,37.975099,23.747668,
,,Dropped Pin,,37.974815,23.748042,
,,amenity,,37.975507,23.751482,
,,José Martí,,37.976424,23.753899,
,,landuse-residential,,37.977595,23.755482,
,,Πειραιώς,,37.976202,23.761294,
,,Αρχιτεκτονική,,37.977948,23.762365,
,,landuse-residential,,37.980744,23.771313,
,,Dropped Pin,,37.989405,23.789998,
,,landuse-residential,,37.988284,23.795839,
,,landuse-residential,,38.013673,23.821797,
,,ΠΛ.ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,,38.0136,23.82041,
,,Dropped Pin,,38.014678,23.817488,
,,Dropped Pin,,38.018944,23.807234,
,,Dropped Pin,,38.017652,23.800897,
,,Κουκλάκι,,38.017422,23.79951,
,,8η Ζωγράφου,,37.976188,23.776064,
,,landuse-residential,,37.965113,23.756488,
,,O.K.!,,37.958569,23.762336,
,,landuse-recreation_ground,,37.957099,23.763526,
,,landuse-recreation_ground,,37.956933,23.763672,
,,landuse-residential,,37.956997,23.76544,
,,Dropped Pin,,37.953205,23.769043,
,,Dropped Pin,,37.955972,23.774833,
,,175,,37.96437,23.744547,
,,park,,37.962741,23.74173,
,,Dropped Pin,,37.960303,23.737212,
,,landuse-residential,,37.960111,23.7372,
,,Dropped Pin,,37.959046,23.734238,
,,landuse-residential,,37.949734,23.738289,
,,landuse-residential,,37.949793,23.739022,
,,Dropped Pin,,37.94883,23.738466,
,,landuse-residential,,37.948886,23.73922,
,,landuse-residential,,37.948594,23.737444,
,,BP,,37.94942,23.744265,
,,landuse-residential,,37.946964,23.746392,
,,Capital,,37.968347,23.731599,
,,Dropped Pin,,37.971076,23.733302,
,,railway-level_crossing,,37.970873,23.733134,
,,railway-crossing,,37.970756,23.732901,
,,"Σύλλογος Ελλήνων Ψυχολόγων-Πολυκέντρο Ψυχιατρικής, Ψυχοθεραπείας, Ψυχανάλυσης",,37.97101,23.732866,
,,subway,,37.976121,23.735804,
,,ΣΥΝΤΑΓΜΑ,,37.976189,23.734378,
,,OTE,,37.975058,23.734098,
,,street,,37.974903,23.735597,
,,Monastiraki,,37.976727,23.726225,
,,69,,37.983918,23.729343,
,,Ομόνοια,,37.984022,23.728742,
,,Γρηγόρης,,37.984226,23.727487,
,,5,,37.984305,23.726869,
,,23,,37.984512,23.725583,
,,Dropped Pin,,37.984895,23.719323,
,,12,,37.984252,23.716469,
,,Dropped Pin,,37.985296,23.710667,
,,landuse-industrial,,37.981935,23.708964,
,,railway-level_crossing,,37.980924,23.711446,
,,Dropped Pin,,37.979072,23.716639,
,,landuse-industrial,,37.987503,23.694402,
,,Dropped Pin,,37.989993,23.687325,
,,Πλατεία Ελευθερίου Βενιζέλου,,37.991386,23.682237,
,,Πλατεία Ελευθερίου Βενιζέλου,,37.991568,23.681371,
,,kiosk,,37.992401,23.678251,
,,Mparoutadiko,,37.99354,23.675965,
,,Dropped Pin,,38.001383,23.685409,
,,11,,37.985965,23.729842,
,,ΠΟΛΥΤΕΧΝΕΙΟ,,37.987581,23.730245,
,,Πολυτεχνείο,,37.988543,23.730583,
,,kiosk,,37.989397,23.730711,
,,46,,37.989982,23.730858,
,,b..eat!,,37.991328,23.731183,
,,Ιωάννης Τσιγάντες,,37.991806,23.731363,
,,ΜΑΡΟΥΔΑ,,38.012904,23.787277,
,,Πλατεία Χαλανδρίου,,38.021872,23.797277,
,,Pentelis,,38.033445,23.822038,
,,Αττική Οδός,,38.034672,23.823631,
,,Dropped Pin,,38.039868,23.830298,
,,Dropped Pin,,38.046658,23.839523,
,,43,,37.995387,23.733299,
,,15,,37.995605,23.732253,
,,ΕΡΤ,,38.01382,23.824675,
,,landuse-residential,,38.010545,23.843908,
,,landuse-residential,,38.008946,23.853594,
,,Dropped Pin,,38.007893,23.802812,
,,Dropped Pin,,38.011341,23.81155,
,,ΓΑΡΥΤΤΟΥ,,38.015655,23.815405,
,,landuse-residential,,38.006556,23.827552,
,,Dropped Pin,,38.002433,23.791369,
,,Dropped Pin,,38.004823,23.775487,
,,landuse-residential,,37.995216,23.776266,
,,Dropped Pin,,37.998127,23.769293,
,,b-eat,,37.993064,23.766828,
,,Αμπελόκηποι,,37.987216,23.757702,
,,Dropped Pin,,38.001457,23.788701,
,,2ο Δημοτικό Σχολείο Νέου Ψυχικού,,38.003654,23.784228,
,,Dropped Pin,,38.027443,23.790017,
,,ΑΒΕΡΩΦ,,38.021218,23.793352,
,,landuse-residential,,38.022918,23.794406,
,,ΧΕΙΜΑΡΑΣ,,38.04131,23.802882,
,,Dropped Pin,,38.043179,23.804326,
,,Kifisias,,38.042148,23.803512,
,,Everest,,38.046419,23.80744,
,,Ματίνα Τσακίρη,,38.072212,23.811617,
,,kiosk,,38.072821,23.812104,
,,Άλσος Κεφαλαρίου,,38.074296,23.82107,
,,Dropped Pin,,38.075275,23.821206,
,,Κατσίμπας,,38.07593,23.812104,
,,Dropped Pin,,38.023895,23.789527,
,,Dropped Pin,,38.034547,23.771434,
,,landuse-residential,,38.05076,23.749707,
,,Ionia center 2000,,38.047019,23.759503,
,,Dropped Pin,,38.04591,23.758154,
,,ΜΟΝΑΣΤΗΡΑΚΙ,,37.977309,23.726323,
,,ΑΦΕΤΗΡΙΑ,,37.981087,23.727249,
,,51,,37.979925,23.726966,
,,Eurobank,,37.992448,23.798635,
,,landuse-residential,,37.951651,23.861778,
,,landuse-residential,,37.955653,23.858885,
,,landuse-residential,,38.012728,23.83615,
,,Dropped Pin,,38.013319,23.833118,
,,Dropped Pin,,38.013837,23.830722,
,,landuse-residential,,38.012369,23.815968,
,,Dropped Pin,,38.009655,23.806974,
,,Dropped Pin,,38.008874,23.805315,
,,25,,37.982746,23.725001,
,,Parking,,37.982292,23.723999,
,,Dropped Pin,,37.981839,23.723042,
,,landuse-residential,,37.968763,23.747161,
,,My Position,,37.970088,23.747349